gid_1,name_1,Population,GDP,GDP_per_capita,Cells,year
LKA.19_1,Mullaitivu,0.165488707360402,1836.174628788331,11095.467830258061,4.0,2022
LKA.1_1,Ampara,0.6788455730702404,11063.06422564531,16296.87909079229,6.0,2022
LKA.20_1,Nuwara Eliya,0.8149901055162372,9858.304805382939,12096.226369691221,2.0,2022
LKA.21_1,Polonnaruwa,0.4036067966415069,4432.548993300791,10982.34477264734,4.0,2022
LKA.22_1,Puttalam,0.8594978165434651,9829.152584616664,11435.92501973459,11.0,2022
LKA.23_1,Ratnapura,1.5714998602197352,19010.79737538422,12097.231349881273,5.0,2022
LKA.24_1,Trincomalee,0.2251487388672329,3263.7045695746388,14495.771044488061,4.0,2022
LKA.25_1,Vavuniya,0.16129100172723293,1697.2426563672618,10522.860160776678,4.0,2022
LKA.2_1,Anuradhapura,0.8162799033364846,9003.72684528874,11030.195412733627,9.0,2022
LKA.3_1,Badulla,0.6178325283559246,7020.737420399741,11363.495928390472,3.0,2022
LKA.4_1,Batticaloa,0.27576285238099213,4369.595441005465,15845.482461751086,4.0,2022
LKA.5_1,Colombo,3.714742113881192,64005.65768031219,17230.175263347846,2.0,2022
LKA.6_1,Galle,1.7614437460138417,23768.35792825649,13493.679819207644,6.0,2022
LKA.7_1,Gampaha,1.7038749203009456,23290.944849412586,13669.398247436404,3.0,2022
LKA.8_1,Hambantota,0.7682841303779788,9613.225097443297,12512.591002906442,8.0,2022
LKA.9_1,Jaffna,0.30089606682296877,3372.930158749869,11209.618637967513,6.0,2022
